id,plotRowNum,plotColumnNum,testName,EntryNo,Strain,plotRows,repNum,block
plot100,1,1,Border,1,B1000,2,0,1
plot101,2,1,Border,2,B1000,2,0,1
plot102,3,1,Border,3,B1000,2,0,1
plot103,4,1,Border,4,B1000,2,0,1
plot104,5,1,Border,5,B1000,2,0,1
plot105,6,1,Border,6,B1000,2,0,1
plot106,7,1,Border,7,B1000,2,0,1
plot107,8,1,Border,8,B1000,2,0,1
plot108,9,1,Border,9,B1000,2,0,1
plot109,10,1,Border,10,B1000,2,0,1
plot110,11,1,Border,11,B1000,2,0,1
plot111,12,1,Border,12,B1000,2,0,1
plot112,13,1,Border,13,B1000,2,0,1
plot113,14,1,Border,14,B1000,2,0,1
plot114,15,1,Border,15,B1000,2,0,1
plot115,16,1,Border,16,B1000,2,0,1
plot116,17,1,Border,17,B1000,2,0,1
plot117,18,1,Border,18,B1000,2,0,1
plot118,19,1,Border,19,B1000,2,0,1
plot119,20,1,Border,20,B1000,2,0,1
plot120,21,1,Border,21,B1000,2,0,1
plot121,22,1,Border,22,B1000,2,0,1
plot122,23,1,Border,23,B1000,2,0,1
plot123,24,1,Border,24,B1000,2,0,1
plot124,25,1,Border,25,B1000,2,0,1
plot125,26,1,Border,26,B1000,2,0,1
plot126,27,1,Border,27,B1000,2,0,1
plot127,28,1,Border,28,B1000,2,0,1
plot128,29,1,Border,29,B1000,2,0,1
plot129,30,1,Border,30,B1000,2,0,1
plot130,31,1,Border,31,B1000,2,0,1
plot131,32,1,Border,32,B1000,2,0,1
plot132,33,1,Border,33,B1000,2,0,1
plot133,34,1,Border,34,B1000,2,0,1
plot134,35,1,Border,35,B1000,2,0,1
plot135,36,1,Border,36,B1000,2,0,1
plot136,37,1,Border,37,B1000,2,0,1
plot137,38,1,Border,38,B1000,2,0,1
plot138,39,1,Border,39,B1000,2,0,1
plot139,40,1,Border,40,B1000,2,0,1
plot140,41,1,Border,41,B1000,2,0,1
plot141,42,1,Border,42,B1000,2,0,1
plot142,43,1,Border,43,B1000,2,0,1
plot143,44,1,Border,44,B1000,2,0,1
plot144,45,1,Border,45,B1000,2,0,1
plot145,46,1,Border,46,B1000,2,0,1
plot146,47,1,Border,47,B1000,2,0,1
plot147,48,1,Border,48,B1000,2,0,1
plot148,49,1,Border,49,B1000,2,0,1
plot149,50,1,Border,50,B1000,2,0,1
plot150,51,1,Border,51,B1000,2,0,1
plot151,52,1,Border,52,B1000,2,0,1
plot152,53,1,Border,53,B1000,2,0,1
plot153,54,1,Border,54,B1000,2,0,1
plot154,55,1,Border,55,B1000,2,0,1
plot155,56,1,Border,56,B1000,2,0,1
plot156,57,1,Border,57,B1000,2,0,1
plot157,58,1,Border,58,B1000,2,0,1
plot158,59,1,Border,59,B1000,2,0,1
plot159,60,1,Border,60,B1000,2,0,1
plot160,61,1,Border,61,B1000,2,0,1
plot161,62,1,Border,62,B1000,2,0,1
plot162,63,1,Border,63,B1000,2,0,1
plot163,64,1,Border,64,B1000,2,0,1
plot164,1,2,Border,65,B1000,2,0,1
plot165,2,2,Border,66,B1000,2,0,1
plot166,3,2,Border,67,B1000,2,0,1
plot167,4,2,Border,68,B1000,2,0,1
plot168,5,2,Border,69,B1000,2,0,1
plot169,6,2,Border,70,B1000,2,0,1
plot170,7,2,Border,71,B1000,2,0,1
plot171,8,2,Border,72,B1000,2,0,1
plot172,9,2,Border,73,B1000,2,0,1
plot173,10,2,Border,74,B1000,2,0,1
plot174,11,2,Border,75,B1000,2,0,1
plot175,12,2,Border,76,B1000,2,0,1
plot176,13,2,Border,77,B1000,2,0,1
plot177,14,2,Border,78,B1000,2,0,1
plot178,15,2,Border,79,B1000,2,0,1
plot179,16,2,Border,80,B1000,2,0,1
plot180,17,2,Border,81,B1000,2,0,1
plot181,18,2,Border,82,B1000,2,0,1
plot182,19,2,Border,83,B1000,2,0,1
plot183,20,2,Border,84,B1000,2,0,1
plot184,21,2,Border,85,B1000,2,0,1
plot185,22,2,Border,86,B1000,2,0,1
plot186,23,2,Border,87,B1000,2,0,1
plot187,24,2,Border,88,B1000,2,0,1
plot188,25,2,Border,89,B1000,2,0,1
plot189,26,2,Border,90,B1000,2,0,1
plot190,27,2,Border,91,B1000,2,0,1
plot191,28,2,Border,92,B1000,2,0,1
plot192,29,2,Border,93,B1000,2,0,1
plot193,30,2,Border,94,B1000,2,0,1
